City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
9,Matara,LK,79.0,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
11,Omboue,GA,79.03,overcast clouds,-1.5746,9.2618,Hotel Olako
12,Caravelas,BR,80.38,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
23,Balikpapan,ID,76.37,broken clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
25,Batticaloa,LK,84.24,overcast clouds,7.7102,81.6924,Grand Star Guest House
40,Faanui,PF,79.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Meulaboh,ID,76.91,overcast clouds,4.1363,96.1285,Kost Pria
44,Dingle,PH,78.08,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
49,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
52,Cao Bang,VN,76.93,overcast clouds,22.6667,106.25,khách sạn 88
53,Gwadar,PK,84.63,few clouds,25.1216,62.3254,Sadaf Resort
55,Bandarbeyla,SO,82.87,overcast clouds,9.4942,50.8122,JABIR HOTEL
56,Hilo,US,75.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Cimarron Hills,US,82.06,broken clouds,38.8586,-104.6989,"Holiday Inn Express & Suites Colorado Springs-First & Main, an IHG Hotel"
63,Kapaa,US,75.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Peniche,PT,86.07,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
67,Thinadhoo,MV,84.29,moderate rain,0.5333,72.9333,
68,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
69,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Bud,US,75.22,broken clouds,39.447,-86.1758,Ted McQuinn Trust
71,Tarrafal,CV,83.19,few clouds,15.2833,-23.7667,Hotel Ixola
72,Palu,ID,75.18,light rain,-0.8917,119.8707,Hotel Santika Palu
74,Itarema,BR,83.97,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
75,Port Alfred,ZA,77.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
76,Saint-Francois,FR,83.64,broken clouds,46.4154,3.9054,Manoir Du Bonheur
77,Eydhafushi,MV,83.66,light rain,5.1033,73.0708,Soneva Fushi
78,Kyaikkami,MM,81.16,overcast clouds,16.08,97.5675,St. joseph catholic church
79,Lorengau,PG,80.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
80,West Wendover,US,78.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
81,Mitsamiouli,KM,79.18,scattered clouds,-11.3847,43.2844,Foyer ADM
82,Bantul,ID,77.54,light rain,-7.8881,110.3289,dOmah Hotel Yogya
83,Troyes,FR,77.05,broken clouds,48.3333,4.0833,Logis Hôtel des Sources
84,Komsomolskiy,UZ,86.72,moderate rain,40.4272,71.7189,Ikathouse
87,Butaritari,KI,81.45,few clouds,3.0707,172.7902,Isles Sunset Lodge
89,Copperas Cove,US,89.29,clear sky,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
91,Kirakira,SB,78.01,few clouds,-10.4544,161.9205,SanBiz Lodge
92,Sao Filipe,CV,77.14,clear sky,14.8961,-24.4956,Hotel Xaguate
97,Shache,CN,83.88,overcast clouds,38.4167,77.2406,Delong Hotel
100,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
103,Touros,BR,84.76,few clouds,-5.1989,-35.4608,INN NEW HORIZON
107,Salalah,OM,87.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
108,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
114,Victoria,HK,84.38,heavy intensity rain,22.2855,114.1577,Mini Central
119,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
130,Koutsouras,GR,80.11,clear sky,35.0339,25.9469,The White Houses
131,Abu Samrah,SY,79.75,clear sky,35.3029,37.1841,
134,Booue,GA,85.62,broken clouds,-0.0921,11.9385,Splendeur de l'équateur
135,Karangampel,ID,80.28,overcast clouds,-6.4622,108.4519,ROOFTOP WAG ALL
139,Fishers,US,75.22,overcast clouds,39.9556,-86.0139,Hilton Garden Inn Indianapolis Northeast/Fishers
142,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
143,Shieli,KZ,83.43,broken clouds,44.1667,66.75,Gostinitsa Aybek Shieli
146,Anakapalle,IN,80.55,broken clouds,17.6833,83.0167,Satya Lodge
149,Reidsville,US,82.63,clear sky,36.3549,-79.6645,"Holiday Inn Express & Suites Reidsville, an IHG Hotel"
150,Roebourne,AU,75.2,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
151,Tucuma,BR,82.6,few clouds,-0.1833,-50.05,
152,Simi,SL,89.55,broken clouds,9.5667,-12.35,
153,Ponta Do Sol,PT,78.71,few clouds,32.6667,-17.1,Hotel do Campo
154,Mao,ES,84.76,clear sky,39.8885,4.2658,ARTIEM Capri
156,Atuona,PF,78.22,broken clouds,-9.8,-139.0333,Villa Enata
157,Baoning,CN,78.66,overcast clouds,25.3378,110.026,
160,Hithadhoo,MV,83.95,overcast clouds,-0.6,73.0833,Scoop Guest House
