City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,31.48,97,51,3.0,broken clouds
1,Quelimane,MZ,-17.8786,36.8883,76.95,69,40,9.22,scattered clouds
2,Asfi,MA,32.2994,-9.2372,71.91,80,16,6.73,few clouds
3,Bethel,US,41.3712,-73.414,68.65,82,75,10.36,broken clouds
4,Quatre Cocos,MU,-20.2078,57.7625,71.71,84,100,16.06,moderate rain
5,New Norfolk,AU,-42.7826,147.0587,42.93,84,55,3.4,broken clouds
6,Albany,US,42.6001,-73.9662,72.23,66,98,1.99,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,46.06,76,0,0.0,clear sky
8,Khatanga,RU,71.9667,102.5,64.08,40,7,9.8,clear sky
9,Matara,LK,5.9485,80.5353,79.0,88,97,8.5,overcast clouds
10,Bajil,YE,15.0584,43.2851,96.19,39,51,8.55,broken clouds
11,Omboue,GA,-1.5746,9.2618,79.03,79,98,7.2,overcast clouds
12,Caravelas,BR,-17.7125,-39.2481,80.38,65,100,3.8,overcast clouds
13,Stromness,GB,58.965,-3.296,55.36,79,100,15.99,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,46.51,81,40,6.91,scattered clouds
15,Yellowknife,CA,62.456,-114.3525,59.52,72,75,14.97,broken clouds
16,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,62,75,8.95,broken clouds
17,Hermanus,ZA,-34.4187,19.2345,73.8,50,100,21.12,overcast clouds
18,Nizhniy Kuranakh,RU,58.8353,125.4869,48.56,76,100,4.12,overcast clouds
19,Whyalla,AU,-33.0333,137.5833,52.61,75,100,7.25,overcast clouds
20,Bonavista,CA,48.6499,-53.1147,57.33,70,100,13.49,overcast clouds
21,Thompson,CA,55.7435,-97.8558,60.96,63,75,4.61,broken clouds
22,Rikitea,PF,-23.1203,-134.9692,72.84,63,78,8.21,broken clouds
23,Balikpapan,ID,-1.2675,116.8289,76.37,86,71,2.35,broken clouds
24,Bluff,NZ,-46.6,168.3333,31.8,82,7,5.46,clear sky
25,Batticaloa,LK,7.7102,81.6924,84.24,74,100,5.66,overcast clouds
26,Coolum Beach,AU,-26.5333,153.1,53.08,67,100,8.5,overcast clouds
27,Hede,CN,33.7681,120.2517,68.68,88,100,8.59,overcast clouds
28,Okato,NZ,-39.2,173.8833,52.18,92,100,25.01,light rain
29,Castro,BR,-24.7911,-50.0119,51.12,47,5,8.03,clear sky
30,Siteki,SZ,-26.45,31.95,61.84,51,6,5.59,clear sky
31,Kaitangata,NZ,-46.2817,169.8464,35.71,88,37,6.06,scattered clouds
32,Busselton,AU,-33.65,115.3333,58.3,67,100,30.98,overcast clouds
33,Kaeo,NZ,-35.1,173.7833,58.32,92,24,22.95,few clouds
34,Dikson,RU,73.5069,80.5464,31.06,94,69,15.79,broken clouds
35,Blagoveshchenka,RU,52.8333,79.8667,71.37,45,60,5.57,broken clouds
36,Xingyi,CN,24.1877,102.817,63.66,96,100,4.16,overcast clouds
37,Leningradskiy,RU,69.3833,178.4167,35.55,70,12,9.78,few clouds
38,Lompoc,US,34.6391,-120.4579,55.81,100,100,4.61,mist
39,Bam,IR,29.106,58.357,95.7,12,18,9.44,few clouds
40,Faanui,PF,-16.4833,-151.75,79.2,77,35,22.75,light rain
41,Farah,AF,32.5,62.5,90.5,12,0,13.35,clear sky
42,Meulaboh,ID,4.1363,96.1285,76.91,87,100,6.69,overcast clouds
43,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,2.3,broken clouds
44,Dingle,PH,10.9995,122.6711,78.08,85,43,3.74,scattered clouds
45,Greymouth,NZ,-42.4667,171.2,49.26,70,100,26.66,overcast clouds
46,Qaanaaq,GL,77.484,-69.3632,30.25,70,95,4.03,overcast clouds
47,Saint-Philippe,RE,-21.3585,55.7679,72.99,84,88,17.31,light rain
48,East London,ZA,-33.0153,27.9116,74.34,40,0,10.36,clear sky
49,Yarada,IN,17.65,83.2667,80.92,74,75,6.91,mist
50,Dehloran,IR,32.6941,47.2679,105.26,9,0,17.76,clear sky
51,Pimentel,PE,-6.8367,-79.9342,62.89,82,100,12.66,mist
52,Cao Bang,VN,22.6667,106.25,76.93,98,100,3.27,overcast clouds
53,Gwadar,PK,25.1216,62.3254,84.63,78,17,6.53,few clouds
54,Ahipara,NZ,-35.1667,173.1667,60.06,85,16,27.65,light rain
55,Bandarbeyla,SO,9.4942,50.8122,82.87,67,91,29.84,overcast clouds
56,Hilo,US,19.7297,-155.09,75.27,93,20,4.0,few clouds
57,Ribeira Grande,PT,38.5167,-28.7,66.6,63,40,13.8,scattered clouds
58,Cimarron Hills,US,38.8586,-104.6989,82.06,30,75,5.75,broken clouds
59,Barrow,US,71.2906,-156.7887,26.62,93,100,5.75,overcast clouds
60,Terney,RU,45.0503,136.6092,47.97,92,0,3.58,clear sky
61,La Macarena,CO,2.1837,-73.7849,69.17,99,100,1.74,overcast clouds
62,Ruwi,OM,23.5996,58.5507,91.09,72,0,4.97,clear sky
63,Kapaa,US,22.0752,-159.319,75.47,87,75,16.11,broken clouds
64,Portree,GB,57.4129,-6.1942,51.53,85,52,17.49,broken clouds
65,Luderitz,NA,-26.6481,15.1594,65.68,58,78,7.09,broken clouds
66,Peniche,PT,39.3558,-9.3811,86.07,71,4,13.47,clear sky
67,Thinadhoo,MV,0.5333,72.9333,84.29,71,100,6.89,moderate rain
68,Georgetown,MY,5.4112,100.3354,82.33,94,20,2.3,few clouds
69,Puerto Ayora,EC,-0.7393,-90.3518,75.16,93,76,5.01,broken clouds
70,Bud,US,39.447,-86.1758,75.22,88,73,11.52,broken clouds
71,Tarrafal,CV,15.2833,-23.7667,83.19,85,16,12.97,few clouds
72,Palu,ID,-0.8917,119.8707,75.18,96,99,2.73,light rain
73,Evensk,RU,61.95,159.2333,42.51,93,100,2.39,light rain
74,Itarema,BR,-2.9248,-39.9167,83.97,68,88,10.27,overcast clouds
75,Port Alfred,ZA,-33.5906,26.891,77.18,29,92,4.0,overcast clouds
76,Saint-Francois,FR,46.4154,3.9054,83.64,39,84,6.91,broken clouds
77,Eydhafushi,MV,5.1033,73.0708,83.66,75,100,10.56,light rain
78,Kyaikkami,MM,16.08,97.5675,81.16,82,100,5.66,overcast clouds
79,Lorengau,PG,-2.0226,147.2712,80.49,78,87,7.16,overcast clouds
80,West Wendover,US,40.7391,-114.0733,78.01,24,0,5.75,clear sky
81,Mitsamiouli,KM,-11.3847,43.2844,79.18,70,43,7.05,scattered clouds
82,Bantul,ID,-7.8881,110.3289,77.54,87,100,1.92,light rain
83,Troyes,FR,48.3333,4.0833,77.05,53,75,8.05,broken clouds
84,Komsomolskiy,UZ,40.4272,71.7189,86.72,20,79,16.11,moderate rain
85,Jamestown,US,42.097,-79.2353,66.02,67,99,3.0,overcast clouds
86,Amazar,RU,53.858,120.875,55.83,97,100,3.51,light rain
87,Butaritari,KI,3.0707,172.7902,81.45,75,15,12.75,few clouds
88,Narsaq,GL,60.9167,-46.05,52.02,81,100,1.97,light rain
89,Copperas Cove,US,31.1241,-97.9031,89.29,60,0,17.27,clear sky
90,Chuy,UY,-33.6971,-53.4616,55.94,65,58,12.17,broken clouds
91,Kirakira,SB,-10.4544,161.9205,78.01,80,14,5.46,few clouds
92,Sao Filipe,CV,14.8961,-24.4956,77.14,68,6,8.23,clear sky
93,Airai,TL,-8.9266,125.4092,56.28,90,92,3.11,overcast clouds
94,Svobodnyy,RU,51.4,128.1333,63.73,65,100,6.73,overcast clouds
95,Charters Towers,AU,-20.1,146.2667,50.52,53,0,8.97,clear sky
96,Sitka,US,57.0531,-135.33,49.89,81,100,5.75,light rain
97,Shache,CN,38.4167,77.2406,83.88,19,87,8.28,overcast clouds
98,Mula,ES,38.0409,-1.4901,90.12,15,8,16.55,clear sky
99,Fort Nelson,CA,58.8053,-122.7002,49.59,76,75,0.0,broken clouds
100,Hambantota,LK,6.1241,81.1185,82.74,74,40,9.22,scattered clouds
101,Chokurdakh,RU,70.6333,147.9167,50.54,41,11,11.59,few clouds
102,Nikolskoye,RU,59.7035,30.7861,73.87,56,94,7.25,overcast clouds
103,Touros,BR,-5.1989,-35.4608,84.76,63,20,11.43,few clouds
104,Tezu,IN,27.9167,96.1667,72.52,98,100,1.86,overcast clouds
105,Provideniya,RU,64.3833,-173.3,34.52,73,28,3.8,scattered clouds
106,Yiyang,CN,28.5892,112.3283,66.74,98,100,5.88,overcast clouds
107,Salalah,OM,17.0151,54.0924,87.89,84,75,13.8,broken clouds
108,Padang,ID,-0.9492,100.3543,77.05,84,100,5.39,overcast clouds
109,Goderich,CA,43.7501,-81.7165,62.92,88,92,4.61,overcast clouds
110,Atar,MR,20.5169,-13.0499,113.76,6,1,12.48,clear sky
111,Kasongo-Lunda,CD,-6.4667,16.8167,90.21,23,15,2.46,few clouds
112,Yabelo,ET,4.8833,38.0833,66.79,56,73,10.0,broken clouds
113,Cape Town,ZA,-33.9258,18.4232,70.27,44,0,23.02,clear sky
114,Victoria,HK,22.2855,114.1577,84.38,86,100,11.01,heavy intensity rain
115,Katsuura,JP,35.1333,140.3,65.1,89,14,4.12,few clouds
116,Mehamn,NO,71.0357,27.8492,49.91,87,100,30.47,overcast clouds
117,Nadvoitsy,RU,63.8667,34.3167,60.87,80,100,9.28,overcast clouds
118,Nema,RU,57.5067,50.5011,58.53,71,75,8.84,broken clouds
119,Cabedelo,BR,-6.9811,-34.8339,84.87,71,35,9.35,scattered clouds
120,Tasiilaq,GL,65.6145,-37.6368,37.56,99,100,9.15,light rain
121,Clyde River,CA,70.4692,-68.5914,32.23,93,100,11.5,mist
